# time x y z roll pitch yaw
1775727103.396050 50.033646 -94.242871 4.040874 -0.002113 0.031804 -0.036824
1775727113.396498 62.239176 -94.885589 3.972484 -0.000755 0.035754 -0.034277
1775727123.390925 74.157221 -95.322415 3.921159 0.001665 0.027579 -0.021857
1775727133.391862 85.123132 -95.526297 3.871434 -0.000640 0.023479 0.017170
1775727143.392216 97.727194 -95.745717 3.834341 0.004697 0.036099 -0.013050
1775727153.395692 110.059032 -96.284451 3.746839 0.009793 0.040347 -0.038926
1775727163.396819 114.801570 -97.798456 3.721364 0.028020 0.028815 -0.411364
1775727173.396623 117.634669 -105.344330 3.546490 0.002015 0.042136 -1.516408
1775727183.396484 116.094869 -118.904322 3.374635 -0.005478 0.040551 -1.869872
1775727193.392005 107.390247 -122.538610 3.292619 -0.002613 0.027256 -3.126308
1775727203.390155 94.240937 -122.363867 3.368455 -0.010533 0.027069 3.137910
1775727213.389937 80.045532 -121.865518 3.343203 -0.005574 0.024004 3.124757
1775727223.392062 69.048859 -121.485733 3.412842 -0.005266 0.022244 3.127463
1775727233.396501 58.056389 -120.937570 3.503469 -0.008674 0.019407 3.096793
1775727243.392112 46.349477 -120.179077 3.553622 -0.014442 0.024977 3.118461
1775727253.390120 35.371468 -120.373082 3.575652 -0.009086 0.028854 -3.081123
1775727263.392266 22.937602 -121.088060 3.619535 -0.008040 0.025327 -3.068922
1775727273.390514 12.028055 -121.500132 3.648297 -0.017276 0.022105 -3.101244
1775727283.392420 2.346186 -121.573841 3.681905 -0.010424 0.022234 -3.125173
1775727293.396549 5.801125 -121.542406 3.675069 -0.002779 0.033700 -2.376933
1775727303.392075 7.278749 -121.759889 3.705615 -0.001113 0.041572 -1.739022
1775727313.391992 14.084397 -125.496973 3.603851 0.024038 0.030687 0.030955
1775727323.392150 24.946780 -125.672254 3.586252 0.025675 0.029749 -0.092876
1775727333.396698 34.410072 -131.999099 3.413747 0.014019 0.043622 -0.766776
1775727343.392068 43.323549 -139.518720 3.247046 0.012607 0.036283 -0.563678
1775727353.394514 55.733548 -140.641757 3.102297 0.032454 0.025667 0.263216
1775727363.396889 67.249451 -134.099874 3.157047 0.024366 0.011987 0.607241
1775727373.396421 79.640053 -126.702239 3.352508 0.025759 0.017613 0.439399
1775727383.392833 95.555149 -125.928061 3.325171 0.025932 0.030441 -0.021051
1775727393.389981 112.496068 -124.442092 3.265659 0.016268 0.016621 0.450627
1775727403.396562 115.616221 -120.210943 3.336093 0.008616 0.012079 1.081986
1775727413.396710 117.854951 -106.588944 3.502932 0.014447 0.016952 1.532955
1775727423.396862 118.348479 -93.960263 3.619775 0.026745 0.030847 1.565363
1775727433.396575 119.022015 -77.440940 3.849245 0.022799 0.023535 1.536534
1775727443.396512 119.811226 -65.165044 3.963667 0.029480 0.026417 1.520095
1775727453.396300 119.241364 -53.659707 4.012661 0.015635 0.019368 1.555112
1775727463.394297 119.986772 -36.500371 4.075536 0.025981 0.025752 1.535151
1775727473.393783 120.599648 -21.357686 4.126633 0.033504 0.021388 1.539982
1775727483.396231 120.876971 -11.608930 4.164824 0.036962 0.018449 1.562686
1775727493.396362 105.796597 -8.464534 0.004534 -0.012816 0.018558 2.999103
1775727503.395618 87.336753 -6.068578 0.214780 -0.000663 0.019564 3.055495
1775727513.396567 67.770054 -3.867471 0.060874 0.007999 0.027509 3.107740
1775727523.396427 51.869571 -2.591795 0.039097 0.004362 0.031795 3.067524
1775727533.396563 36.176018 -1.458732 0.041604 0.009039 0.029429 3.110223
1775727543.394158 18.188009 -0.573466 0.027409 -0.002677 0.024164 3.116956
1775727553.396623 6.029848 0.279840 -0.019348 0.004797 0.027702 3.071020
1775727563.393465 6.032323 0.280442 -0.021408 0.004498 0.028050 3.071219
1775727573.392181 6.033898 0.277475 -0.023490 0.004571 0.028098 3.070864
1775727583.391922 6.031524 0.279202 -0.023617 0.004538 0.027939 3.071073
1775727593.395885 6.030045 0.280978 -0.023684 0.004663 0.028259 3.071026
